date,open,high,low,close,volume
1980-12-12,0.5134,0.5155,0.5134,0.5134,117258400
1980-12-15,0.4889,0.4889,0.4866,0.4866,43971200
1980-12-16,0.453,0.453,0.4509,0.4509,26432000
1980-12-17,0.462,0.4643,0.462,0.462,21610400
1980-12-18,0.4755,0.4777,0.4755,0.4755,18362400
1980-12-19,0.5045,0.5068,0.5045,0.5045,12157600
1980-12-22,0.5291,0.5313,0.5291,0.5291,9340800
1980-12-23,0.5514,0.5536,0.5514,0.5514,11737600
1980-12-24,0.5804,0.5827,0.5804,0.5804,12000800
1980-12-26,0.6339,0.6361,0.6339,0.6339,13893600
1980-12-29,0.6429,0.6452,0.6429,0.6429,23290400
1980-12-30,0.6295,0.6295,0.6271,0.6271,17220000
1980-12-31,0.6116,0.6116,0.6095,0.6095,8937600
1981-01-02,0.6161,0.6205,0.6161,0.6161,5415200
1981-01-05,0.6048,0.6048,0.6027,0.6027,8932000
1981-01-06,0.578,0.578,0.5759,0.5759,11289600
1981-01-07,0.5536,0.5536,0.5514,0.5514,13921600
1981-01-08,0.5423,0.5423,0.5402,0.5402,9956800
1981-01-09,0.5693,0.5714,0.5693,0.5693,5376000
1981-01-12,0.5693,0.5693,0.5646,0.5646,5924800
1981-01-13,0.547,0.547,0.5446,0.5446,5762400
1981-01-14,0.547,0.5491,0.547,0.547,3572800
1981-01-15,0.558,0.5625,0.558,0.558,3516800
1981-01-16,0.5557,0.5557,0.5536,0.5536,3348800
1981-01-19,0.587,0.5893,0.587,0.587,10393600
1981-01-20,0.5714,0.5714,0.5693,0.5693,7520800
1981-01-21,0.5804,0.5848,0.5804,0.5804,3976000
1981-01-22,0.587,0.5916,0.587,0.587,8887200
1981-01-23,0.587,0.5893,0.5848,0.5848,2805600
1981-01-26,0.578,0.578,0.5759,0.5759,6160000
1981-01-27,0.5759,0.5759,0.5714,0.5714,5924800
1981-01-28,0.5557,0.5557,0.5536,0.5536,7039200
1981-01-29,0.5357,0.5357,0.5334,0.5334,10976000
1981-01-30,0.5089,0.5089,0.5045,0.5045,11547200
1981-02-02,0.4777,0.4777,0.4755,0.4755,5941600
1981-02-03,0.4932,0.4955,0.4932,0.4932,4788000
1981-02-04,0.5111,0.5134,0.5111,0.5111,6966400
1981-02-05,0.5111,0.5155,0.5111,0.5111,1982400
1981-02-06,0.5134,0.5155,0.5134,0.5134,3466400
1981-02-09,0.4911,0.4911,0.4866,0.4866,4188800
1981-02-10,0.4866,0.4889,0.4866,0.4866,4586400
1981-02-11,0.4732,0.4732,0.4709,0.4709,3460800
1981-02-12,0.4688,0.4688,0.4666,0.4666,3640000
1981-02-13,0.4598,0.4598,0.4554,0.4554,2788800
1981-02-17,0.4666,0.4688,0.4666,0.4666,3068800
1981-02-18,0.4866,0.4911,0.4866,0.4866,4810400
1981-02-19,0.4598,0.4598,0.4577,0.4577,5577600
1981-02-20,0.4354,0.4354,0.433,0.433,6092800
1981-02-23,0.4396,0.442,0.4396,0.4396,3528000
1981-02-24,0.4286,0.4286,0.4241,0.4241,4244800
1981-02-25,0.4509,0.453,0.4509,0.4509,4872000
1981-02-26,0.4577,0.4598,0.4577,0.4577,2710400
1981-02-27,0.4732,0.4777,0.4732,0.4732,3690400
1981-03-02,0.4755,0.4777,0.4755,0.4755,2940000
1981-03-03,0.4709,0.4709,0.4688,0.4688,4043200
1981-03-04,0.4666,0.4666,0.4643,0.4643,3427200
1981-03-05,0.4643,0.4643,0.462,0.462,1344000
1981-03-06,0.462,0.462,0.4577,0.4577,2900800
1981-03-09,0.4241,0.4241,0.422,0.422,3830400
1981-03-10,0.4041,0.4041,0.4018,0.4018,7095200
1981-03-11,0.3905,0.3905,0.3861,0.3861,7464800
1981-03-12,0.4018,0.4041,0.4018,0.4018,14812000
1981-03-13,0.3995,0.3995,0.3973,0.3973,57825600
1981-03-16,0.413,0.4173,0.413,0.413,9307200
1981-03-17,0.433,0.4375,0.433,0.433,10936800
1981-03-18,0.4598,0.4643,0.4598,0.4598,9234400
1981-03-19,0.4577,0.4577,0.4554,0.4554,9452800
1981-03-20,0.4598,0.4643,0.4598,0.4598,3651200
1981-03-23,0.4777,0.4821,0.4777,0.4777,5504800
1981-03-24,0.4777,0.4777,0.4755,0.4755,7039200
1981-03-25,0.4709,0.4709,0.4666,0.4666,1764000
1981-03-26,0.4598,0.4598,0.4577,0.4577,3068800
1981-03-27,0.4443,0.4443,0.442,0.442,3063200
1981-03-30,0.442,0.4464,0.442,0.442,2475200
1981-03-31,0.442,0.442,0.4375,0.4375,3998400
1981-04-01,0.4354,0.4354,0.433,0.433,8517600
1981-04-02,0.4709,0.4732,0.4709,0.4709,7851200
1981-04-03,0.4732,0.4755,0.4732,0.4732,4121600
1981-04-06,0.4666,0.4666,0.4643,0.4643,5700800
1981-04-07,0.462,0.462,0.4598,0.4598,2671200
1981-04-08,0.4821,0.4866,0.4821,0.4821,5488000
1981-04-09,0.4911,0.4932,0.4911,0.4911,3124800
1981-04-10,0.4979,0.5,0.4979,0.4979,8366400
1981-04-13,0.4979,0.5,0.4979,0.4979,4015200
1981-04-14,0.4979,0.5,0.4979,0.4979,1663200
1981-04-15,0.4755,0.4755,0.4732,0.4732,8512000
1981-04-16,0.4486,0.4486,0.4464,0.4464,5969600
1981-04-20,0.4598,0.462,0.4598,0.4598,8836800
1981-04-21,0.4911,0.4932,0.4911,0.4911,7134400
1981-04-22,0.5089,0.5111,0.5089,0.5089,4748800
1981-04-23,0.5223,0.5245,0.5223,0.5223,14504000
1981-04-24,0.5223,0.5223,0.5179,0.5179,8764000
1981-04-27,0.5155,0.5155,0.5134,0.5134,9632000
1981-04-28,0.5068,0.5068,0.5045,0.5045,8047200
1981-04-29,0.5,0.5,0.4979,0.4979,3410400
1981-04-30,0.5068,0.5111,0.5068,0.5068,3152800
1981-05-01,0.5068,0.5111,0.5068,0.5068,4138400
1981-05-04,0.5068,0.5068,0.5045,0.5045,3612000
1981-05-05,0.5045,0.5045,0.5021,0.5021,4384800
1981-05-06,0.4911,0.4911,0.4889,0.4889,4737600
1981-05-07,0.4955,0.4979,0.4955,0.4955,2340800
1981-05-08,0.5,0.5021,0.5,0.5,1976800
1981-05-11,0.4911,0.4911,0.4889,0.4889,2984800
1981-05-12,0.4889,0.4955,0.4889,0.4889,1064000
1981-05-13,0.4889,0.4932,0.4866,0.4866,1226400
1981-05-14,0.4845,0.4845,0.4798,0.4798,1232000
1981-05-15,0.4911,0.4979,0.4911,0.4911,1226400
1981-05-18,0.5,0.5045,0.5,0.5,1041600
1981-05-19,0.4932,0.4932,0.4911,0.4911,6356000
1981-05-20,0.5068,0.5111,0.5068,0.5068,3320800
1981-05-21,0.5357,0.538,0.5357,0.5357,8052800
1981-05-22,0.5604,0.5646,0.5604,0.5604,7856800
1981-05-26,0.5604,0.5604,0.558,0.558,21336000
1981-05-27,0.5893,0.5916,0.5893,0.5893,37374400
1981-05-28,0.5893,0.5916,0.5893,0.5893,18496800
1981-05-29,0.5916,0.5938,0.5916,0.5916,14845600
1981-06-01,0.5916,0.5938,0.5916,0.5916,12812800
1981-06-02,0.5646,0.5646,0.5625,0.5625,10108000
1981-06-03,0.5625,0.567,0.5625,0.5625,9861600
1981-06-04,0.5736,0.5759,0.5736,0.5736,14016800
1981-06-05,0.567,0.567,0.5646,0.5646,14420000
1981-06-08,0.547,0.547,0.5446,0.5446,23374400
1981-06-09,0.5557,0.558,0.5557,0.5557,29898400
1981-06-10,0.5625,0.5693,0.5625,0.5625,6305600
1981-06-11,0.587,0.5893,0.587,0.587,9744000
1981-06-12,0.5827,0.5827,0.5804,0.5804,6451200
1981-06-15,0.5804,0.5804,0.578,0.578,35940800
1981-06-16,0.5693,0.5693,0.567,0.567,9312800
1981-06-17,0.5604,0.5604,0.558,0.558,6893600
1981-06-18,0.558,0.5604,0.5557,0.5557,5762400
1981-06-19,0.5423,0.5423,0.5402,0.5402,6876800
1981-06-22,0.5223,0.5223,0.5202,0.5202,2710400
1981-06-23,0.5291,0.5334,0.5291,0.5291,3757600
1981-06-24,0.5202,0.5202,0.5155,0.5155,5756800
1981-06-25,0.5268,0.5291,0.5268,0.5268,6064800
1981-06-26,0.5245,0.5245,0.5202,0.5202,5947200
1981-06-29,0.5068,0.5068,0.5021,0.5021,2648800
1981-06-30,0.4666,0.4666,0.4643,0.4643,8976800
1981-07-01,0.462,0.462,0.4598,0.4598,42616000
1981-07-02,0.4598,0.462,0.4598,0.4598,7571200
1981-07-06,0.4486,0.4486,0.4443,0.4443,4132800
1981-07-07,0.4486,0.453,0.4486,0.4486,3959200
1981-07-08,0.4666,0.4688,0.4666,0.4666,4155200
1981-07-09,0.433,0.433,0.4307,0.4307,8220800
1981-07-10,0.3995,0.3995,0.3973,0.3973,13792800
1981-07-13,0.4063,0.4084,0.4063,0.4063,11435200
1981-07-14,0.4241,0.4286,0.4241,0.4241,4944800
1981-07-15,0.4354,0.4375,0.4354,0.4354,2738400
1981-07-16,0.4464,0.4509,0.4464,0.4464,3808000
1981-07-17,0.462,0.4643,0.462,0.462,4956000
1981-07-20,0.433,0.433,0.4307,0.4307,5913600
1981-07-21,0.4307,0.4307,0.4286,0.4286,7985600
1981-07-22,0.4084,0.4084,0.4041,0.4041,5667200
1981-07-23,0.4152,0.4173,0.4152,0.4152,8612800
1981-07-24,0.4286,0.4307,0.4286,0.4286,7212800
1981-07-27,0.4464,0.4486,0.4464,0.4464,4334400
1981-07-28,0.433,0.433,0.4307,0.4307,5712000
1981-07-29,0.4264,0.4264,0.4241,0.4241,3875200
1981-07-30,0.4396,0.4443,0.4396,0.4396,2475200
1981-07-31,0.4464,0.4486,0.4464,0.4464,2738400
1981-08-03,0.4464,0.4464,0.442,0.442,3108000
1981-08-04,0.4486,0.4509,0.4486,0.4486,7918400
1981-08-05,0.462,0.4643,0.462,0.462,4373600
1981-08-06,0.453,0.453,0.4509,0.4509,2632000
1981-08-07,0.4509,0.453,0.4509,0.4509,2301600
1981-08-11,0.442,0.442,0.4375,0.4375,17864000
1981-08-12,0.4307,0.4307,0.4286,0.4286,6568800
1981-08-13,0.4173,0.4173,0.4152,0.4152,6871200
1981-08-14,0.413,0.413,0.4084,0.4084,6048000
1981-08-17,0.3995,0.3995,0.3952,0.3952,4726400
1981-08-18,0.3905,0.3905,0.3861,0.3861,4250400
1981-08-19,0.3861,0.3861,0.3818,0.3818,5168800
1981-08-20,0.3861,0.3884,0.3861,0.3861,4278400
1981-08-21,0.3639,0.3639,0.3595,0.3595,10477600
1981-08-24,0.3393,0.3393,0.337,0.337,5768000
1981-08-25,0.3459,0.3482,0.3459,0.3459,10175200
1981-08-26,0.3416,0.3416,0.3393,0.3393,8400000
1981-08-27,0.3416,0.3438,0.3416,0.3416,6479200
1981-08-28,0.3595,0.3616,0.3595,0.3595,9508800
1981-08-31,0.3595,0.3616,0.3595,0.3595,10236800
1981-09-01,0.3818,0.3839,0.3818,0.3818,9256800
1981-09-02,0.3884,0.3905,0.3884,0.3884,4844000
1981-09-03,0.3729,0.3729,0.3682,0.3682,9368800
1981-09-04,0.3661,0.3661,0.3639,0.3639,3813600
1981-09-08,0.3548,0.3548,0.3527,0.3527,6361600
1981-09-09,0.3527,0.3548,0.3527,0.3527,7632800
1981-09-10,0.3548,0.3571,0.3548,0.3548,8702400
1981-09-11,0.3527,0.3527,0.3505,0.3505,4384800
1981-09-14,0.3416,0.3416,0.3393,0.3393,6921600
1981-09-15,0.3327,0.3327,0.3304,0.3304,4877600
1981-09-16,0.3259,0.3259,0.3236,0.3236,4838400
1981-09-17,0.317,0.317,0.3146,0.3146,4844000
1981-09-18,0.317,0.3193,0.317,0.317,6580000
1981-09-21,0.3193,0.3214,0.3193,0.3193,12258400
1981-09-22,0.3036,0.3036,0.3014,0.3014,11855200
1981-09-23,0.2991,0.2991,0.2946,0.2946,7050400
1981-09-24,0.2946,0.2946,0.2923,0.2923,4575200
1981-09-25,0.2589,0.2589,0.2545,0.2545,8652000
1981-09-28,0.2568,0.2589,0.2568,0.2568,22932000
1981-09-29,0.2702,0.2723,0.2702,0.2702,23671200
1981-09-30,0.2723,0.2745,0.2723,0.2723,12499200
1981-10-01,0.2723,0.2745,0.2723,0.2723,15282400
1981-10-02,0.2946,0.297,0.2946,0.2946,11261600
1981-10-05,0.3036,0.308,0.3036,0.3036,10774400
1981-10-06,0.3036,0.3036,0.3014,0.3014,7089600
1981-10-07,0.3193,0.3236,0.3193,0.3193,9710400
1981-10-08,0.3304,0.3327,0.3304,0.3304,7772800
1981-10-09,0.3327,0.337,0.3327,0.3327,13630400
1981-10-12,0.3438,0.3459,0.3438,0.3438,6837600
1981-10-13,0.3438,0.3482,0.3438,0.3438,11048800
1981-10-14,0.3259,0.3259,0.3236,0.3236,7744800
1981-10-15,0.3304,0.3327,0.3304,0.3304,7358400
1981-10-16,0.328,0.328,0.3259,0.3259,9116800
1981-10-19,0.3327,0.3348,0.3327,0.3327,5146400
1981-10-20,0.3505,0.3527,0.3505,0.3505,8932000
1981-10-21,0.3505,0.3527,0.3505,0.3505,19224800
1981-10-22,0.3505,0.3505,0.3482,0.3482,8069600
1981-10-23,0.3416,0.3416,0.3393,0.3393,6977600
1981-10-26,0.3393,0.3416,0.3393,0.3393,6820800
1981-10-27,0.3459,0.3505,0.3459,0.3459,21397600
1981-10-28,0.3571,0.3595,0.3571,0.3571,11043200
1981-10-29,0.3548,0.3548,0.3527,0.3527,7621600
1981-10-30,0.3571,0.3595,0.3571,0.3571,13182400
1981-11-02,0.3571,0.3595,0.3571,0.3571,9228800
1981-11-03,0.3548,0.3548,0.3527,0.3527,7095200
1981-11-04,0.3459,0.3459,0.3438,0.3438,5952800
1981-11-05,0.3214,0.3214,0.3193,0.3193,5840800
1981-11-06,0.3214,0.3236,0.3214,0.3214,6148800
1981-11-09,0.3259,0.328,0.3259,0.3259,5096000
1981-11-10,0.328,0.3304,0.328,0.328,4188800
1981-11-11,0.337,0.3393,0.337,0.337,6860000
1981-11-12,0.3482,0.3505,0.3482,0.3482,9979200
1981-11-13,0.3259,0.3259,0.3236,0.3236,5252800
1981-11-16,0.3214,0.3214,0.3193,0.3193,5639200
1981-11-17,0.3259,0.328,0.3259,0.3259,8853600
1981-11-18,0.337,0.3393,0.337,0.337,7285600
1981-11-19,0.337,0.3393,0.337,0.337,10001600
1981-11-20,0.3393,0.3416,0.3393,0.3393,9525600
1981-11-23,0.328,0.328,0.3236,0.3236,5740000
1981-11-24,0.3236,0.3236,0.3214,0.3214,5538400
1981-11-25,0.328,0.3304,0.328,0.328,13137600
1981-11-27,0.337,0.3393,0.337,0.337,9312800
1981-11-30,0.3348,0.3348,0.3327,0.3327,5992000
1981-12-01,0.3327,0.3348,0.3327,0.3327,5846400
1981-12-02,0.3348,0.337,0.3348,0.3348,9391200
1981-12-03,0.3327,0.3327,0.3304,0.3304,5107200
1981-12-04,0.3393,0.3416,0.3393,0.3393,34288800
1981-12-07,0.3416,0.3438,0.3416,0.3416,14823200
1981-12-08,0.3393,0.3393,0.3348,0.3348,12656000
1981-12-09,0.337,0.3393,0.337,0.337,8568000
1981-12-10,0.337,0.3393,0.337,0.337,9352000
1981-12-11,0.337,0.3393,0.3348,0.3348,19023200
1981-12-14,0.328,0.328,0.3236,0.3236,6311200
1981-12-15,0.3327,0.3348,0.3327,0.3327,7828800
1981-12-16,0.3482,0.3505,0.3482,0.3482,16363200
1981-12-17,0.3771,0.3795,0.3771,0.3771,12863200
1981-12-18,0.4084,0.4107,0.4084,0.4084,17931200
1981-12-21,0.3929,0.3929,0.3905,0.3905,14100800
1981-12-22,0.3973,0.3995,0.3973,0.3973,13456800
1981-12-23,0.3905,0.3905,0.3884,0.3884,7224000
1981-12-24,0.3905,0.3929,0.3905,0.3905,7229600
1981-12-28,0.3771,0.3771,0.3729,0.3729,9144800
1981-12-29,0.3795,0.3839,0.3795,0.3795,6059200
1981-12-30,0.3952,0.3973,0.3952,0.3952,8047200
1981-12-31,0.3952,0.3973,0.3952,0.3952,13664000
1982-01-04,0.3952,0.3952,0.3929,0.3929,17813600
1982-01-05,0.3771,0.3771,0.3729,0.3729,8960000
1982-01-06,0.3705,0.3705,0.3682,0.3682,16520000
1982-01-07,0.3438,0.3438,0.3393,0.3393,17511200
1982-01-08,0.3548,0.3571,0.3548,0.3548,14151200
1982-01-11,0.3348,0.3348,0.3327,0.3327,8332800
1982-01-12,0.3236,0.3236,0.3214,0.3214,14980000
1982-01-13,0.3214,0.3214,0.3193,0.3193,10438400
1982-01-14,0.3348,0.337,0.3348,0.3348,6428800
1982-01-15,0.3571,0.3616,0.3571,0.3571,11676000
1982-01-18,0.3639,0.3682,0.3639,0.3639,7000000
1982-01-19,0.3595,0.3595,0.3548,0.3548,13876800
1982-01-20,0.3616,0.3639,0.3616,0.3616,6456800
1982-01-21,0.3682,0.3705,0.3682,0.3682,8332800
1982-01-22,0.3705,0.3729,0.3705,0.3705,6064800
1982-01-25,0.3616,0.3616,0.3595,0.3595,11177600
1982-01-26,0.3505,0.3505,0.3459,0.3459,5303200
1982-01-27,0.3482,0.3527,0.3482,0.3482,7840000
